person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_group,loan_amount_group,loan_income_group,income_per_loan,credit_history_to_age
22,59000,RENT,4.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,50K-75K,20K+,50%+,1.6857142857142857,0.13636363636363635
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,Below 30K,0-5K,0-10%,9.6,0.09523809523809523
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,Below 30K,5K-10K,50%+,1.7454545454545454,0.12
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,50K-75K,20K+,50%+,1.8714285714285714,0.08695652173913043
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,50K-75K,20K+,50%+,1.5542857142857143,0.16666666666666666
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,Below 30K,0-5K,20-30%,3.96,0.09523809523809523
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,75K-100K,20K+,40-50%,2.202857142857143,0.11538461538461539
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,75K-100K,20K+,40-50%,2.2558857142857143,0.16666666666666666
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,75K-100K,20K+,40-50%,2.3714285714285714,0.08333333333333333
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,Below 30K,0-5K,10-20%,6.25,0.14285714285714285
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,75K-100K,20K+,40-50%,2.4285714285714284,0.18181818181818182
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,Below 30K,0-5K,40-50%,2.2222222222222223,0.09523809523809523
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,75K-100K,20K+,30-40%,2.7142857142857144,0.08695652173913043
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,100K+,20K+,30-40%,3.0902857142857143,0.15384615384615385
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,100K+,20K+,20-30%,3.2857142857142856,0.17391304347826086
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,100K+,20K+,0-10%,16.666666666666668,0.13043478260869565
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,100K+,20K+,20-30%,3.4285714285714284,0.17391304347826086
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,75K-100K,20K+,30-40%,2.631742857142857,0.17391304347826086
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,100K+,20K+,30-40%,3.2285714285714286,0.17391304347826086
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,Below 30K,0-5K,10-20%,6.171428571428572,0.08333333333333333
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,100K+,20K+,20-30%,4.642857142857143,0.16
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,100K+,20K+,20-30%,3.9367816091954024,0.08
